Time in ms from program start,Instantaneous IMU acceleration (maybe m/s2),Velocity (m/s),Displacement (m)
0.000,0.000,0.000,0.000
39.000,0.000,0.000,0.000
79.000,0.000,0.000,0.000
119.000,0.000,0.000,0.000
159.000,0.000,0.000,0.000
199.000,0.000,0.000,0.000
239.000,0.000,0.000,0.000
279.000,0.000,0.000,0.000
319.000,0.000,0.000,0.000
359.000,0.000,0.000,0.000
399.000,0.000,0.000,0.000
439.000,0.000,0.000,0.000
479.000,0.000,0.000,0.000
519.000,0.000,0.000,0.000
559.000,0.000,0.000,0.000
599.000,0.000,0.000,0.000
639.000,0.000,0.000,0.000
679.000,0.000,0.000,0.000
719.000,0.000,0.000,0.000
759.000,0.000,0.000,0.000
799.000,0.000,0.000,0.000
839.000,0.000,0.000,0.000
879.000,0.000,0.000,0.000
919.000,0.000,0.000,0.000
959.000,0.000,0.000,0.000
999.000,0.000,0.000,0.000
1039.000,0.000,0.000,0.000
1079.000,0.000,0.000,0.000
1119.000,0.000,0.000,0.000
1159.000,0.000,0.000,0.000
1199.000,0.000,0.000,0.000
1239.000,0.000,0.000,0.000
1279.000,0.000,0.000,0.000
1319.000,0.000,0.000,0.000
1359.000,0.000,0.000,0.000
1399.000,0.000,0.000,0.000
1439.000,0.000,0.000,0.000
1479.000,0.000,0.000,0.000
1519.000,0.000,0.000,0.000
1559.000,0.000,0.000,0.000
1599.000,0.000,0.000,0.000
1639.000,0.000,0.000,0.000
1679.000,0.000,0.000,0.000
1719.000,0.000,0.000,0.000
1759.000,0.000,0.000,0.000
1799.000,0.000,0.000,0.000
1839.000,0.000,0.000,0.000
1879.000,0.000,0.000,0.000
1919.000,0.000,0.000,0.000
1959.000,0.000,0.000,0.000
1999.000,0.000,0.000,0.000
2039.000,0.000,0.000,0.000
2080.000,0.000,0.000,0.000
2119.000,0.000,0.000,0.000
2159.000,0.000,0.000,0.000
2199.000,0.000,0.000,0.000
2239.000,0.000,0.000,0.000
2279.000,0.000,0.000,0.000
2319.000,0.000,0.000,0.000
2359.000,0.000,0.000,0.000
2399.000,0.000,0.000,0.000
2439.000,0.000,0.000,0.000
2479.000,0.000,0.000,0.000
2519.000,0.000,0.000,0.000
2559.000,0.000,0.000,0.000
2599.000,0.000,0.000,0.000
2639.000,0.000,0.000,0.000
2679.000,0.000,0.000,0.000
2719.000,0.000,0.000,0.000
2759.000,0.000,0.000,0.000
2799.000,0.000,0.000,0.000
2839.000,0.000,0.000,0.000
2880.000,0.000,0.000,0.000
2919.000,0.000,0.000,0.000
2959.000,0.000,0.000,0.000
2999.000,0.000,0.000,0.000
3039.000,0.000,0.000,0.000
3079.000,0.000,0.000,0.000
3119.000,0.000,0.000,0.000
3159.000,0.000,0.000,0.000
3199.000,0.000,0.000,0.000
3239.000,0.000,0.000,0.000
3279.000,0.000,0.000,0.000
3319.000,0.000,0.000,0.000
3359.000,0.000,0.000,0.000
3399.000,0.000,0.000,0.000
3439.000,0.000,0.000,0.000
3479.000,0.000,0.000,0.000
3520.000,0.000,0.000,0.000
3559.000,0.000,0.000,0.000
3599.000,0.000,0.000,0.000
3639.000,0.000,0.000,0.000
3679.000,0.000,0.000,0.000
3719.000,0.000,0.000,0.000
3759.000,0.000,0.000,0.000
3799.000,0.000,0.000,0.000
3839.000,0.000,0.000,0.000
3879.000,0.000,0.000,0.000
3919.000,0.000,0.000,0.000
3959.000,0.000,0.000,0.000
3999.000,0.000,0.000,0.000
4039.000,0.000,0.000,0.000
4079.000,0.000,0.000,0.000
4119.000,0.000,0.000,0.000
4159.000,0.000,0.000,0.000
4199.000,0.000,0.000,0.000
4239.000,0.000,0.000,0.000
4279.000,0.000,0.000,0.000
4319.000,0.000,0.000,0.000
4359.000,0.000,0.000,0.000
4399.000,0.000,0.000,0.000
4439.000,0.000,0.000,0.000
4479.000,0.000,0.000,0.000
4519.000,0.000,0.000,0.000
4559.000,0.000,0.000,0.000
4599.000,0.000,0.000,0.000
4639.000,0.000,0.000,0.000
4679.000,0.000,0.000,0.000
4719.000,0.000,0.000,0.000
4759.000,0.000,0.000,0.000
4799.000,0.000,0.000,0.000
4839.000,0.000,0.000,0.000
4879.000,0.000,0.000,0.000
4919.000,0.000,0.000,0.000
4959.000,0.000,0.000,0.000
4999.000,0.000,0.000,0.000
5039.000,0.000,0.000,0.000
5079.000,0.000,0.000,0.000
5119.000,0.000,0.000,0.000
5159.000,0.000,0.000,0.000
5199.000,0.000,0.000,0.000
5239.000,0.000,0.000,0.000
5279.000,0.000,0.000,0.000
5319.000,0.000,0.000,0.000
5359.000,0.000,0.000,0.000
5399.000,0.000,0.000,0.000
5439.000,0.000,0.000,0.000
5479.000,0.000,0.000,0.000
5519.000,0.000,0.000,0.000
5559.000,0.000,0.000,0.000
5599.000,0.000,0.000,0.000
5639.000,0.000,0.000,0.000
5680.000,0.000,0.000,0.000
5719.000,0.000,0.000,0.000
5759.000,0.000,0.000,0.000
5799.000,0.000,0.000,0.000
5840.000,0.000,0.000,0.000
5879.000,0.000,0.000,0.000
5919.000,0.000,0.000,0.000
5959.000,0.000,0.000,0.000
5999.000,0.000,0.000,0.000
6039.000,0.000,0.000,0.000
6079.000,0.000,0.000,0.000
6119.000,0.000,0.000,0.000
6159.000,0.000,0.000,0.000
6199.000,0.000,0.000,0.000
6239.000,0.000,0.000,0.000
6279.000,0.000,0.000,0.000
6319.000,0.000,0.000,0.000
6359.000,0.000,0.000,0.000
6399.000,0.000,0.000,0.000
6439.000,0.000,0.000,0.000
6479.000,0.000,0.000,0.000
6519.000,0.000,0.000,0.000
